input;noise;config;input_snr;output_snr;input_mse;output_mse;execution_time
speech-librivox-0005;white_noise_5db;sym8-5-soft-0.25-1.00;5.002542;10.709943;0.000905;0.000243;72.484100
speech-librivox-0010;white_noise_5db;sym8-3-soft-0.50-0.60;5.011922;10.849845;0.001425;0.000371;72.228700
speech-librivox-0034;white_noise_5db;sym8-4-soft-0.50-0.60;4.992558;10.916181;0.000891;0.000228;74.358600
speech-librivox-0062;white_noise_5db;sym8-3-soft-0.50-0.80;5.009856;11.937999;0.004481;0.000908;67.734000
speech-librivox-0082;white_noise_5db;sym8-5-soft-0.25-0.80;5.002854;9.261141;0.001060;0.000398;72.409500
speech-librivox-0117;white_noise_5db;sym8-4-soft-0.50-0.80;5.014058;12.673478;0.001338;0.000229;68.281600
speech-librivox-0005;white_noise_10db;sym8-4-soft-0.25-1.00;10.020666;14.445642;0.000285;0.000103;71.180600
speech-librivox-0010;white_noise_10db;sym8-3-soft-0.25-1.00;10.003089;14.658842;0.000451;0.000155;71.009700
speech-librivox-0034;white_noise_10db;sym8-3-soft-0.25-1.00;10.021913;14.637356;0.000280;0.000097;69.663500
speech-librivox-0062;white_noise_10db;sym8-3-soft-0.75-0.40;9.994539;15.688460;0.001421;0.000383;69.342600
speech-librivox-0082;white_noise_10db;sym8-5-soft-0.75-0.20;9.999939;13.075365;0.000336;0.000165;73.977700
speech-librivox-0117;white_noise_10db;sym8-4-soft-0.50-0.60;10.008914;16.059316;0.000424;0.000105;73.246400
speech-librivox-0005;noise-free-sound-0001;db2-5-soft-1.00-1.00;5.003343;6.529713;0.000905;0.000637;64.271500
speech-librivox-0010;noise-free-sound-0001;sym2-5-soft-1.00-1.00;5.002655;6.385376;0.001428;0.001038;66.232500
speech-librivox-0034;noise-free-sound-0001;sym2-5-soft-1.00-1.00;5.003368;6.531284;0.000888;0.000625;65.105900
speech-librivox-0062;noise-free-sound-0001;sym2-5-soft-1.00-1.00;5.001497;6.593204;0.004485;0.003109;67.990000
speech-librivox-0082;noise-free-sound-0001;sym2-5-soft-0.75-1.00;5.003091;6.168089;0.001060;0.000811;63.763000
speech-librivox-0117;noise-free-sound-0001;sym2-5-soft-1.00-1.00;5.002745;6.868306;0.001342;0.000873;65.232200
speech-librivox-0005;noise-free-sound-0271;sym8-5-soft-1.00-1.00;10.005842;11.114623;0.000281;0.000217;70.532600
speech-librivox-0010;noise-free-sound-0271;db8-5-soft-1.00-1.00;10.004576;10.980542;0.000456;0.000364;71.256100
speech-librivox-0034;noise-free-sound-0271;db8-5-soft-1.00-1.00;10.005844;11.124594;0.000279;0.000216;70.818100
speech-librivox-0062;noise-free-sound-0271;sym8-5-soft-1.00-1.00;10.002617;11.312319;0.001395;0.001032;72.290000
speech-librivox-0082;noise-free-sound-0271;db2-5-soft-0.50-0.80;10.005363;10.771021;0.000332;0.000278;65.822700
speech-librivox-0117;noise-free-sound-0271;db5-5-soft-1.00-1.00;10.004736;11.589342;0.000426;0.000296;68.719400
speech-librivox-0005;noise-free-sound-0278;sym5-5-soft-1.00-1.00;5.003337;5.842370;0.000905;0.000746;73.568500
speech-librivox-0010;noise-free-sound-0278;db5-5-soft-1.00-1.00;5.002651;5.755566;0.001428;0.001200;67.889900
speech-librivox-0034;noise-free-sound-0278;db5-5-soft-1.00-1.00;5.003365;5.843903;0.000888;0.000732;69.130600
speech-librivox-0062;noise-free-sound-0278;db2-5-soft-1.00-1.00;5.001497;5.884373;0.004498;0.003660;62.681300
speech-librivox-0082;noise-free-sound-0278;db2-5-soft-0.50-1.00;5.003081;5.632613;0.001060;0.000917;65.464300
speech-librivox-0117;noise-free-sound-0278;db2-5-soft-1.00-1.00;5.002743;6.118392;0.001342;0.001038;65.455900
speech-librivox-0005;noise-free-sound-0165;db8-5-soft-1.00-1.00;10.004913;10.456480;0.000286;0.000258;70.335300
speech-librivox-0010;noise-free-sound-0165;db5-5-soft-1.00-1.00;10.003943;10.408653;0.000451;0.000411;70.214700
speech-librivox-0034;noise-free-sound-0165;db8-5-soft-1.00-1.00;10.004985;10.450396;0.000281;0.000253;75.451000
speech-librivox-0062;noise-free-sound-0165;db2-5-soft-1.00-1.00;10.002389;10.454143;0.001432;0.001278;66.331100
speech-librivox-0082;noise-free-sound-0165;sym2-5-soft-0.50-0.60;10.004568;10.336985;0.000335;0.000310;66.340400
speech-librivox-0117;noise-free-sound-0165;db2-5-soft-1.00-1.00;10.004055;10.558420;0.000424;0.000373;66.280700
